order_id,product_id,order_date,amount
1001,201,2023-01-10,150.0
1002,202,2023-01-12,200.0
1003,203,2023-01-25,300.0
1004,204,2023-02-05,120.0
1005,201,2023-02-15,180.0
1006,202,2023-03-01,250.0
1007,203,2023-03-22,100.0
1008,204,2023-03-30,400.0
1009,205,2023-04-10,500.0
1010,206,2023-04-21,320.0
1011,207,2023-05-05,150.0
1012,208,2023-05-18,220.0
1013,209,2023-06-03,330.0
1014,210,2023-06-19,290.0
1015,211,2023-07-07,420.0
1016,212,2023-07-27,510.0
1017,213,2023-08-04,600.0
1018,214,2023-08-18,450.0
1019,215,2023-09-02,380.0
1020,216,2023-09-29,490.0
